날짜,기사 제목,매체 이름,링크
2025.10.29,"삼성 파운드리, 빅테크 잇단 수주로 '턴키 완성' 눈앞...적자 꼬리표 뗄까",디지털투데이,https://news.google.com/rss/articles/CBMic0FVX3lxTE9sS3d4VTNCQVRNUFRGYndmb1ozREVNNl9MMFJPSUE4a255dTFwYUJZRGZkc2NlSlR6ZDdXNG42VTBfT2NTSmpmbDNTWXJhaW9YQzF3MkRnSGpMRW1TaGxMVmxqa1FkRVE5bWFOek5ONEJqTGs?oc=5
2025.10.29,[10만전자의 엔진들] ①삼성의 숨은 공신들…장비·소재·패키징 벤더가 이끈다,fetv.co.kr,https://news.google.com/rss/articles/CBMiX0FVX3lxTFA2Vk1ZTjFHSkt2NWtpLVlkZ0JZN0xhb19acW4yek9yWjUwZXZzREZ3UFdmLU15SkFNTTBQU1FObVJBTHJ4a0dHTU56WnFucExYeE9jdFVkelJiLUl6Wjk0?oc=5
2025.10.29,"전영현 삼성전자 반도체 공정과 물량의 힘 되살렸다, HBM 추격하고 범용 D램 유리하고",비즈니스포스트,https://news.google.com/rss/articles/CBMic0FVX3lxTE9NeDY0NmF6SnUtSElaVkRwdnBNeHo3aTNSaERJeWxKenBDRHpadC1STkxjanVLOVAyZnA4cExoS3hCR0lfV3BWTnBObW83REFkZmg3c1hDcW5kMUNJbE92d2xuQ1A1RUhTS3ZXcGRNUDZPN1E?oc=5
2025.10.29,"이재용 삼성전자 종합반도체기업 꿈 안 버렸다, LSI사업부와 파운드리 부활의 신호탄",비즈니스포스트,https://news.google.com/rss/articles/CBMic0FVX3lxTE4wYksySFdYYnBHRGFYOVRjb1p5VWo1QV9ha25XRGJfNFlqQUJ5WVA4akQxTDYtU2kxRkFaSEhFU1E3NlhWbXFNVEtkQWUtamU1YlM2NkVURzlWMVlDdU5CaGtwSkltUTVxcU5IUGtzY0QxNXM?oc=5
2025.10.29,“뽑을 사람이 없네”…식품사 때린 삼성 반도체 부활의 ‘역풍’,v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1TaXF2MFNtWnFUUDA3Y1M0NkVQZzhRM0NsVldCaFJ4WGRFS2pDelNkai1oSjE0dldUZzl1T2dvbEhmYTlDZ2JHdVNGRllHTHM?oc=5
2025.10.29,삼성전자 부활 반도체 영업익 7조…현대차 관세 타격 '부진' 예상,v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBYMHV2aTkxT3pXdGNKZ2pyZG5LZUNCNlZ5b1RMTzFOcGxIQW5GVTg5cWlzWDhWODdyTVRGXzhxWTVoXzdHZ2c?oc=5
2025.10.30,"AI 시대, 돌아온 삼성전자의 시간…반도체·디바이스로 '완벽 부활' 선언",오피니언뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE50UFVDOHQ0Y2l6X0llVmZLekhPRnNXVnZmS2pYN3Frc3Zsa0J2UFg1SmtsWTFyTHI1MjVLNFl1dEdwV2RPYzBmZ3VKUjRRRUtqbW9ZQjRzRDVkaGxMSDNaaTB1Q2lDRER2XzR5dGJhS01kdw?oc=5
2025.10.30,삼성 반도체가 살아났다…엔비디아 공급망 본격 진입,전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9SV1JMV2JlakpGTlBIRXhoWVM3Tk1CaG90bDlaakloUGlnZTNhT3Q0M0RVLUFpOC1QQ2VYdXJONkV1TTc3YW1qRTRMWlVjZw?oc=5
2025.10.30,“십만전자에 부스터 달아주나”…삼성전자 반도체서만 영업익 7조,매일경제,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBKd01IbGpLUzM2YTNES2JFNWxycERqTXJSZ0JLbU5yaExoVEVMbzRvdE1uRnBxNzJYOU1FWTB1T3lZTV9raURXS3VjODIxZlpOQmRDUEpB?oc=5
2025.10.30,"삼성전자 DS부문, 내년 메모리 투자 올해보다 늘려",뉴스톱,https://news.google.com/rss/articles/CBMib0FVX3lxTE5TczU0bVpSVjdySWRudTJJMWYzRlF0c3JHR1FmaWh6SzVCRlI1c2FSTjJQLVcwckxDWDA1NWJjT3NKbWh5bU13emt0WE5QNDhPa3VFR2RtTnpGMWhVYUV3elhyOE5UVkdvYjQtYXFNNA?oc=5
