날짜,기사 제목,매체 이름
2024.08.02,힘 빠진 한국 반도체 투톱... 하루새 시총 35兆 사라졌다,조선일보
2024.08.02,'반도체 부활' 알린 삼성전자…시스템LSI도 '숨은 공신'?,연합뉴스
2024.08.02,"영국언론 ""삼성전자 HBM SK하이닉스에 밀린 이유, 경영진 안일함 때문""",비즈니스포스트
2024.08.02,"우리나라 최대 먹거리 반도체, 왜 위기라는 거야?",뉴닉
2024.08.02,"삼성전자 노조, 파업 25일 만에 업무 복귀",조선일보
2024.08.02,"반도체 영업익 6조 달성에도 '긴장'...전영현 삼성 부회장 ""삼성만의 반도체 경쟁력 강화, C.O.R.E.로 다시 뛰자""",뉴스퀘스트
2024.08.02,[유미's 픽] '마하'로 의기투합 한 네이버-삼성…양산 시점은 언제?,지디넷코리아
2024.08.03,"‘무노동 무임금’ 원칙 지키자, 노조 스스로 업무 복귀",조선일보
2024.08.03,"""삼성·SK, 하반기에 더 좋다""…시장서 포착된 반도체 '훈풍' 시그널",mt.co.kr
2024.08.03,"""한국을 왜 밀어줍니까""…'세계 최고' 삼성 날벼락 맞았다 [박의명의 K-인더스트리]",한국경제
2024.08.04,"""3나노 수율 성숙단계 도달"" 삼성 파운드리 순항 예고",파이낸셜뉴스
2024.08.04,인텔 26% 폭락에 반도체기업 주가 '불안' [외신이 본 한국],포춘코리아
2024.08.04,"삼성SDI, 美 보스턴서 석·박사 인재 유치",전자신문
2024.08.04,"삼성전자, 고용량 1TB 마이크로SD 카드 2종 출시",samsung.com
2024.08.04,“외계인 납치해 만든 반도체라고?”…세상서 가장 빠른 그래픽용D램 만든 SK하이닉스 [위클리반도체],매일경제
2024.08.04,"시그네틱스, DDR5 패키징으로 회복 기대",핀포인트뉴스
2024.08.04,"[정책탐구생활] 세계 ‘칩워’ 가속… 한국, 시스템반도체 점유율 10% 달성 지상 과제",브릿지경제
2024.08.05,"삼성전자, 업계 최소 두께 LPDDR5X D램 양산",samsung.com
2024.08.05,반도체 훈풍 속 삼성전자 시스템LSI 성장세 주목,스트레이트뉴스
2024.08.05,"실적개선 이끈 삼성 DS 부문, 시스템LSI 기여도 높아지나",헬로티
2024.08.05,‘제주반도체’가 도왔다…제주 수출 품목 1위는 ‘반도체’,인사이트코리아
2024.08.05,"중국 창신메모리 자체 HBM2 양산, 미국 SK하이닉스 삼성전자 수출 규제 대비",비즈니스포스트
2024.08.05,"GST ""데이터센터 액침냉각 장비 선도할 것""",한국경제
2024.08.05,"전삼노, 삼성전자 1노조 사무직노동조합 흡수 입지 다져",파이낸셜포스트
2024.08.05,"美, HBM 중국 납품 금지 검토...삼성전자·SK하이닉스 '골머리'",월요신문
2024.08.05,"PC업계, 반도체공장ㆍ물류센터 수주 ‘기지개’",대한경제
2024.08.06,"삼성전자, 0.65mm 업게 최소 두께 LPDDR5X D램 양산",디일렉
2024.08.06,"삼성전자, 파운드리 고객사인 美 AI 반도체 '그로크'에 투자",지디넷코리아
2024.08.06,"[챗GPT가 정리한 한국기업史] 삼성그룹, “1938년 대구의 ‘삼성상회’에서 출발”",월드코리안뉴스
2024.08.06,사교육 시장 속 ‘반도체 공정 체험’… “자소서 한 줄 위한 거죠”,녹색경제신문
2024.08.06,"삼성전자·SK하이닉스, 여성 리더 발굴 ‘앞장’",SR타임스
2024.08.06,[단독]삼성 360조 투자 용인 반도체 내년 착공 추진,mt.co.kr
2024.08.06,"로이터 ""중국 화웨이 바이두 '삼성전자 HBM' 사재기"", 미국 규제에 선제 대응",비즈니스포스트
2024.08.07,"삼성전자, 생성형 AI 서버용 최신 SSD 'PM1753' 첫 공개",ESG경제
2024.08.07,"삼성전자, 온실가스 배출량 확 줄였다…7년 간 최저",데이터뉴스
2024.08.07,"또 삼성전자 HBM3E 공급 루머…삼성 ""테스트 진행 중""",디일렉
2024.08.07,[Who Is ?] 전영현 삼성전자 DS부문장 부회장,비즈니스포스트
2024.08.07,TSMC와 삼성전자가 서있는 자리,한국경제
2024.08.07,"하버드대, 삼성전자 고소 “반도체 기술 침해”",v.daum.net
2024.08.07,"삼성전자, 생성형 AI 서버용 최신 SSD 'PM1753' 공개",연합뉴스
2024.08.07,'HBM 효과'... 반도체 후공정 외주 생산 OSAT 업계 실적 반등,디지털투데이
2024.08.07,"[영상] 삼성전자, HBM 후공정 일부 외주화 배경은?",디일렉
2024.08.07,"[단독] 팻 겔싱어 인텔 CEO·이정배 삼성전자 사장, 세계 최고 권위 반도체학회 ‘ISSCC 2025’서 기조연설 - 조선비즈",Chosunbiz
2024.08.07,"주성엔지니어링, 신설 반도체 장비사 대표에 이우경·황은석 공동대표 내정",디일렉
2024.08.07,"""반도체 기술 특허권 침해"" 美하버드대, 삼성전자에 소송",네이트
2024.08.07,"“반도체 키운다” 주성엔지니어링, ASML 출신 이우경 대표 영입",전자신문
2024.08.07,"삼성전자, 2026년 스마트글라스 출시…AI폰 잇는 캐시카우 키운다",sedaily.com
2024.08.07,"삼성·SK하이닉스, 9.4兆 보조금 받고 美 투자 속도 낸다",지디넷코리아
2024.08.08,"""임직원 건강·안전 최우선""…삼성전자, 반도체 물류 자동화 가속",뉴스1
2024.08.08,"삼성전자, 반도체 물류 자동화 가속… 임직원 ‘안전 원칙’ 선포 - 조선비즈",Chosunbiz
2024.08.08,"""안전이 최우선"" 삼성전자, 반도체 공장 물류 자동화 늘린다",지디넷코리아
2024.08.08,고객사 '탈탄소' 압박…반도체 재생에너지 사용 늘린다,뉴시스
2024.08.08,"삼성전자 반도체, 가벼운 웨이퍼 박스로 교체하고 물류도 자동화",중앙일보
2024.08.08,"[人사이트] 전호연 잇다반도체 대표 “반도체 인력난, 설계 자동화 툴로 해결” - 전자신문",전자신문
2024.08.08,삼성전자노조 파업을 돌아보며: 경제 위기를 이유로 파업을 멈추다,노동자 연대
2024.08.08,"삼성전자, 임직원 근골격계 질환 예방 나선다…'안전 원칙' 선포",연합뉴스
2024.08.08,"서울반도체, 글로벌 디스플레이 LED 부문 '첫 1위'",지디넷코리아
2024.08.08,[기자수첩] 반도체 산업이 '물 관리'에 진심인 이유,아이뉴스24
2024.08.08,2026년 CXL 앞세운 AI '변곡점' 온다…반도체 업계 대응 분주,전자신문
2024.08.09,삼성전자 텍사스 반도체 공장 '한파 보상금' 5500억원 돌려받는다,더구루
2024.08.09,"[단독]삼성전자 텍사스공장, 美 보험사와 '한파 보상금' 5500억원에 합의",뉴스웨이브
2024.08.09,반도체 빅2 폭락 뒤 ‘빚투’ 1265억,v.daum.net
2024.08.09,日서 가성비 'EUV' 장비 개발…ASML 독점구도 깨질까?,와이드경제
2024.08.09,"[넥스트 반도체 핵심 '경기기업'②]일렉트로엠, 세계 최고 수준 '연자성 분말코어' 기술로 '삶의 질' 향상",전자신문
2024.08.09,주성엔지니어링 '반도체 신설회사'에 이우경 前 ASML 대표 합류,지디넷코리아
2024.08.09,증강현실 운전·폴더플 힌지…삼성전자 특허로 본 신기술 동향,아시아경제
2024.08.10,"[한눈에 보는 Weekly 기업 소식] 롯데에너지머티리얼즈, 스페인 동박 공장 완공 2년 연기",KIPOST
2024.08.10,"낸드 관련주, '아픈 손가락' 오랜 불황을 끝내볼까나~",Naver Blog
2024.08.10,삼성전자 노조가 '떼쓰다가 빈손으로 패배'했다고?,세상을 바꾸는 시민언론 민들레
2024.08.10,"‘공정 자동화·무인 운송’ 삼성·LG, 제조혁신 가속화",IT조선
2024.08.11,"삼성 하청업체, 갤럭시 만들던 03년생 백혈병 노동자에 부당해고 사과",경향신문
2024.08.11,"[AI시대, 가치 네트워크에 주목하라] 삼성전자·SK하이닉스 HBM, 반도체 생태계와 같이 크는 `가치`",v.daum.net
2024.08.11,[르포] “삼성전자와 차세대 지능형 메모리 기술 개발”… 카이스트 PIM반도체설계연구센터 가보니 - 조선비즈,Chosunbiz
2024.08.11,"카이스트-삼성, AI 시대 'PIM 반도체' 상용화 9부능선 넘었다",지디넷코리아
2024.08.11,"액침냉각 관련주, AI 데이터 열방출 확대에 시장도 같이 커진다! : 네이버 블로그",Naver Blog
2024.08.11,"“더 빠르고 저렴하게” 차세대 메모리 중요한 이유 [HBM, 그 후①]",이투데이
2024.08.12,"삼성, 평택 4공장 '6세대 D램' 투자 확정...메모리 전략기지로 내년 6월 가동",전자신문
2024.08.12,"1분기 반도체 매출, 삼성전자 1위…SK하이닉스는 2배 이상 급증",매거진한경
2024.08.12,"삼성전자, CMP 공정에도 '플라즈마' 적용 추진",지디넷코리아
2024.08.12,"삼성전자, 1분기 반도체 매출 선두…'증가율 1위'는 SK하이닉스",연합뉴스
2024.08.12,"삼성전자, 종합반도체기업 매출 1위…SK하이닉스, 가장 높은 성장률 보여",뉴스웍스
2024.08.12,"전 세계 반도체 매출, 1위 삼성전자… SK하이닉스는 폭발적 성장률",이코노믹데일리
2024.08.12,"서울반도체 ""마이크로 LED, 2개국 고객에 양산 공급""",디일렉
2024.08.12,"'삼성전자 협력업체' 시그네틱스, '1억 달러 투자' 베트남 반도체 패키징 공장 설립",더구루
2024.08.12,삼성전자도 빨라진다…용인 반도체 산단 첫삽 언제,cwn.kr
2024.08.12,"반도체 매출, 선두는 '삼성전자'…SK하이닉스는 '증가율 1위'",한국경제
2024.08.12,"삼성전자, 1분기 종합반도체기업 매출 1위…성장률 1위는 SK하이닉스",전자신문
2024.08.12,"삼성전자, '중고 보상 프로그램'으로 갤Z6 10만명 구매",지디넷코리아
2024.08.12,"삼성바이오로직스 vs 삼성전자, 둘 중 어떤 종목을 사야하나? : 네이버 블로그",Naver Blog
2024.08.13,"삼성전자, 반도체 전 공정에 '플라즈마' 활용",ebn.co.kr
2024.08.13,"엘오티베큠, 삼성, 반도체 전 공정에 '플라즈마' 활용...시스템 공급 이력 부각",한국경제
2024.08.13,"전영현 부회장, 반도체 성장 발판 '합격점'···노사 관계 회복 '낙제점'",서울파이낸스
